window,scheme,dictionary,chunks,raw_bytes,compressed_bytes,ratio
2025-01-06_median,lzss(deployed),25-04-21.bin,20,15600000,3593303,4.3414
2025-01-06_median,lzss(deployed),all-zero,20,15600000,3772015,4.1357
2025-01-06_median,zstd-19,25-04-21.bin,20,15600000,3231604,4.8273
2025-01-06_median,zstd-19,none,20,15600000,3371314,4.6273
2025-01-06_median,lz4-9,25-04-21.bin,20,15600000,4230372,3.6876
2025-01-06_median,lz4-9,none,20,15600000,4278866,3.6458
2025-09-25_busy,lzss(deployed),25-04-21.bin,20,15600000,2596164,6.0089
2025-09-25_busy,lzss(deployed),all-zero,20,15600000,2700939,5.7758
2025-09-25_busy,zstd-19,25-04-21.bin,20,15600000,2259055,6.9055
2025-09-25_busy,zstd-19,none,20,15600000,2330469,6.6939
2025-09-25_busy,lz4-9,25-04-21.bin,20,15600000,3104655,5.0247
2025-09-25_busy,lz4-9,none,20,15600000,3129112,4.9854
2026-04-28_quiet,lzss(deployed),25-04-21.bin,20,15600000,4040017,3.8614
2026-04-28_quiet,lzss(deployed),all-zero,20,15600000,4133144,3.7744
2026-04-28_quiet,zstd-19,25-04-21.bin,20,15600000,3637179,4.2890
2026-04-28_quiet,zstd-19,none,20,15600000,3698753,4.2176
2026-04-28_quiet,lz4-9,25-04-21.bin,20,15600000,4541748,3.4348
2026-04-28_quiet,lz4-9,none,20,15600000,4565969,3.4166
2026-07-28_recent,lzss(deployed),25-04-21.bin,20,15600000,4118199,3.7881
2026-07-28_recent,lzss(deployed),all-zero,20,15600000,4198535,3.7156
2026-07-28_recent,zstd-19,25-04-21.bin,20,15600000,3769170,4.1388
2026-07-28_recent,zstd-19,none,20,15600000,3823391,4.0801
2026-07-28_recent,lz4-9,25-04-21.bin,20,15600000,4518133,3.4528
2026-07-28_recent,lz4-9,none,20,15600000,4539539,3.4365
