era,arm,chunk,raw,compressed,ctx_bytes
2025-01-06_median,none,0,1048576,244965,0
2025-01-06_median,none,1,1048576,229102,0
2025-01-06_median,none,2,1048576,228417,0
2025-01-06_median,none,3,1048576,231226,0
2025-01-06_median,none,4,1048576,231006,0
2025-01-06_median,none,5,1048576,230748,0
2025-01-06_median,none,6,1048576,241817,0
2025-01-06_median,none,7,1048576,220890,0
2025-01-06_median,none,8,1048576,221357,0
2025-01-06_median,none,9,1048576,208593,0
2025-01-06_median,none,10,1048576,191883,0
2025-01-06_median,none,11,1048576,185827,0
2025-01-06_median,none,12,1048576,200954,0
2025-01-06_median,none,13,1048576,228385,0
2025-01-06_median,dict-2025,0,1048576,238329,65536
2025-01-06_median,dict-2025,1,1048576,221813,65536
2025-01-06_median,dict-2025,2,1048576,221721,65536
2025-01-06_median,dict-2025,3,1048576,224698,65536
2025-01-06_median,dict-2025,4,1048576,224515,65536
2025-01-06_median,dict-2025,5,1048576,224188,65536
2025-01-06_median,dict-2025,6,1048576,235146,65536
2025-01-06_median,dict-2025,7,1048576,213705,65536
2025-01-06_median,dict-2025,8,1048576,214034,65536
2025-01-06_median,dict-2025,9,1048576,201275,65536
2025-01-06_median,dict-2025,10,1048576,186023,65536
2025-01-06_median,dict-2025,11,1048576,179023,65536
2025-01-06_median,dict-2025,12,1048576,194356,65536
2025-01-06_median,dict-2025,13,1048576,221438,65536
2025-01-06_median,dict-fresh,0,1048576,236102,65536
2025-01-06_median,dict-fresh,1,1048576,219551,65536
2025-01-06_median,dict-fresh,2,1048576,219220,65536
2025-01-06_median,dict-fresh,3,1048576,222149,65536
2025-01-06_median,dict-fresh,4,1048576,221715,65536
2025-01-06_median,dict-fresh,5,1048576,222720,65536
2025-01-06_median,dict-fresh,6,1048576,233199,65536
2025-01-06_median,dict-fresh,7,1048576,211939,65536
2025-01-06_median,dict-fresh,8,1048576,212989,65536
2025-01-06_median,dict-fresh,9,1048576,199745,65536
2025-01-06_median,dict-fresh,10,1048576,182484,65536
2025-01-06_median,dict-fresh,11,1048576,177336,65536
2025-01-06_median,dict-fresh,12,1048576,192397,65536
2025-01-06_median,dict-fresh,13,1048576,219778,65536
2025-01-06_median,prefix-2MiB,0,1048576,244965,0
2025-01-06_median,prefix-2MiB,1,1048576,202617,1048576
