window,field,raw_bytes,zero_bytes,zero_pct,zero_runs,mean_run,nonzero_bytes,share_of_raw_pct,share_of_nonzero_pct,zstd19_bytes,share_of_compressed_pct,zstd19_of_zerofree_bytes
2025-01-06_median,payload,15602681,9139312,58.58,366446,24.9,6463369,,,2819925,,2731403
2025-01-06_median,calldata_raw,13104961,9109751,69.51,339101,26.9,3995210,85.47,64.51,1852030,63.96,1773344
2025-01-06_median,calldata_irregular,1893661,1238796,65.42,51890,23.9,654865,,,205956,,197586
2025-01-06_median,selectors,104164,601,0.58,454,1.3,103563,,,30988,,31320
2025-01-06_median,structfields,1211040,16277,1.34,13655,1.2,1194763,7.90,19.29,415471,14.35,415621
2025-01-06_median,froms,623700,2489,0.40,2416,1.0,621211,4.07,10.03,276814,9.56,276849
2025-01-06_median,hashes,331520,1286,0.39,1278,1.0,330234,2.16,5.33,331542,11.45,330253
2025-01-06_median,meta,62160,10409,16.75,10360,1.0,51751,0.41,0.84,19791,0.68,16678
2025-09-25_busy,payload,15604781,9864192,63.21,389432,25.3,5740589,,,1869547,,1788154
2025-09-25_busy,calldata_raw,13993649,9847637,70.37,374852,26.3,4146012,90.80,74.74,1395526,73.65,1319557
2025-09-25_busy,calldata_irregular,1588645,756771,47.64,43521,17.4,831874,,,214520,,207126
2025-09-25_busy,selectors,68108,205,0.30,98,2.1,67903,,,18588,,18634
2025-09-25_busy,structfields,834814,8539,1.02,7379,1.2,826275,5.42,14.90,238479,12.59,238273
2025-09-25_busy,froms,432420,3123,0.72,2918,1.1,429297,2.81,7.74,125885,6.64,126141
2025-09-25_busy,hashes,126240,461,0.37,457,1.0,125779,0.82,2.27,126256,6.66,125792
2025-09-25_busy,meta,23670,3962,16.74,3945,1.0,19708,0.15,0.36,8542,0.45,6843
2026-04-28_quiet,payload,15626358,8861772,56.71,389534,22.7,6764586,,,3204448,,3120568
2026-04-28_quiet,calldata_raw,13523354,8834810,65.33,362852,24.3,4688544,87.84,71.78,2432922,75.19,2354548
2026-04-28_quiet,calldata_irregular,1598966,730602,45.69,33501,21.8,868364,,,292188,,282658
2026-04-28_quiet,selectors,75652,1160,1.53,454,2.6,74492,,,19234,,19498
2026-04-28_quiet,structfields,915863,10562,1.15,10174,1.0,905301,5.95,13.86,236445,7.31,236064
2026-04-28_quiet,froms,471420,3344,0.71,3292,1.0,468076,3.06,7.17,128589,3.97,128944
2026-04-28_quiet,hashes,407840,1597,0.39,1593,1.0,406243,2.65,6.22,407865,12.61,406265
2026-04-28_quiet,meta,76470,12833,16.78,12786,1.0,63637,0.50,0.97,29768,0.92,21171
2026-07-28_recent,payload,15602566,9084915,58.23,367438,24.7,6517651,,,3437095,,3346519
2026-07-28_recent,calldata_raw,13659612,9057095,66.31,340711,26.6,4602517,88.66,72.83,2696738,78.06,2616121
2026-07-28_recent,calldata_irregular,1965416,1179754,60.03,52377,22.5,785662,,,245430,,234526
2026-07-28_recent,selectors,68884,2132,3.10,734,2.9,66752,,,15875,,16228
2026-07-28_recent,structfields,808800,11854,1.47,10636,1.1,796946,5.25,12.61,197286,5.71,197534
2026-07-28_recent,froms,419100,2068,0.49,1995,1.0,417032,2.72,6.60,93265,2.70,93574
2026-07-28_recent,hashes,436608,1759,0.40,1754,1.0,434849,2.83,6.88,436633,12.64,434871
2026-07-28_recent,meta,81864,13785,16.84,13724,1.0,68079,0.53,1.08,30774,0.89,21208
