pc,count
0x800000,1
0x800004,1
0x800008,1
0x8000a0,1
0x8000a4,1
0x8000a8,1
0x8000ac,1
0x8000b0,1
0x8000b4,1
0x8000c0,1
0x8000c4,1
0x8000c8,1
0x8000cc,1
0x8000d0,1
0x8000d4,1
0x8000d8,1
0x8000dc,1
0x8000e0,1
0x8000e4,1
0x8000e8,1
0x8000ec,1
0x8000f0,1
0x8000f4,1
0x8000f8,1
0x8000fc,1
0x800100,1
0x800104,1
0x800108,1
0x80010c,1
0x800110,1
0x800114,1
0x800118,1
0x80011c,1
0x800120,1
0x800124,1
0x800128,1
0x800138,1
0x80013c,1
0x800140,1
0x800144,1
0x800148,1
0x80014c,1
0x800150,1
0x800154,1
0x800158,1
0x80015c,1
0x800160,1
0x800164,1
0x800168,1
0x80016c,1
0x800170,1
0x800174,1
0x800178,1
0x80017c,1
0x800180,1
0x80018c,1
0x800190,1
0x80019c,1
0x8001a0,1
0x8001a4,1
0x8001a8,1
0x8001ac,1
0x8001b0,1
0x8001b4,1
0x8001b8,1
0x8001bc,1
0x8001c0,1
0x8001c4,1
0x8001c8,1
0x8001cc,1
0x8001d0,8
0x8001d4,8
0x8001d8,8
0x8001dc,8
0x8001e0,8
0x8001e4,8
0x8001e8,8
0x8001ec,8
0x8001f0,8
0x8001f4,8
0x8001f8,8
0x8001fc,8
0x800200,8
0x800204,8
0x800208,8
0x80020c,8
0x800210,8
0x800214,8
0x800218,8
0x80021c,8
0x800220,8
0x800224,8
0x800228,8
0x80022c,8
0x800230,8
0x800234,8
0x800238,8
0x80023c,8
0x800240,8
0x800244,1
0x800248,1
0x80024c,1
0x800250,1
0x800254,1
0x800258,1
0x80025c,1
0x800260,1
0x800264,8
0x800268,8
0x80026c,6
0x800270,6
0x800274,2
0x800278,2
0x80027c,2
0x80028c,8
0x800290,8
0x800294,8
0x800298,8
0x80029c,8
0x8002a0,8
0x8002a4,39
0x8002a8,39
0x8002ac,39
0x8002b0,39
0x8002b4,39
0x8002b8,8
0x8002bc,8
0x8002c0,8
0x8002c4,8
0x8002c8,8
0x8002cc,7
0x8002d0,7
0x8002d4,1
0x8002d8,1
0x8002dc,1
0x8002e0,1
0x8002e4,1
0x8002e8,1
0x8002ec,4
0x8002f0,4
0x8002f4,4
0x8002f8,4
0x8002fc,4
0x800300,4
0x800304,4
0x800308,4
0x800334,4
0x800338,4
0x80033c,4
0x800340,1
0x8003a4,1
0x8003a8,1
0x8003ac,1
0x8003b0,1
0x8003b4,1
0x8003b8,1
0x8003bc,1
0x8003c0,1
0x8003c4,1
0x8003c8,1
0x8003cc,1
0x800404,8
0x800408,8
0x80040c,1
0x800410,1
0x800414,1
0x800418,1
0x80041c,1
0x800420,1
0x800424,1
0x800428,1
0x80042c,1
0x800430,1
0x800434,1
0x800438,1
0x80043c,1
0x800440,1
0x800444,1
0x800448,1
0x80044c,8
0x800450,8
0x800454,8
0x800458,8
0x80045c,8
0x800460,8
0x800464,8
0x800468,8
0x80046c,8
0x800470,8
0x800650,1
0x800654,1
0x800658,1
0x80065c,18
0x800660,18
0x800664,18
0x800668,18
0x80066c,16
0x800670,2
0x800674,2
0x800678,2
0x80067c,2
0x800680,2
0x800684,2
0x800688,2
0x80068c,2
0x800690,2
0x800694,2
0x800698,2
0x800820,1
0x800824,1
0x800828,1
0x80082c,1
0x800830,1
0x800834,1
0x800838,1
0x80083c,1
0x800840,1
0x800844,1
0x800848,1
0x80084c,1
0x800850,1
0x800854,1
0x800858,1
0x80085c,1
0x800860,1
0x800864,1
0x800868,1
0x80086c,1
0x800870,1
0x800874,1
0x800878,1
0x80088c,1
0x800890,1
0x800894,1
0x800898,1
0x80089c,1
0x8008a0,1
0x8008a4,1
0x8008a8,1
0x8008ac,1
0x8008b0,1
