pc,count
0x800000,1
0x800004,1
0x800008,1
0x80000c,1
0x800010,1
0x800014,1
0x800018,1
0x80001c,1
0x800020,1
0x800024,1
0x800028,1
0x80002c,1
0x800030,1
0x800034,1
0x800038,1
0x80003c,1
0x800040,1
0x800044,1
0x800048,1
0x80004c,1
0x800050,1
0x800054,1
0x800058,1
0x80005c,1
0x800060,1
0x800064,1
0x800068,1
0x80006c,1
0x800070,1
0x800074,1
0x800078,1
0x80007c,1
0x800080,1
0x800084,1
0x800088,1
0x80008c,1
0x800090,1
0x800094,1
0x800098,1
0x80009c,1
0x8000a0,1
0x8000a4,1
0x8000a8,1
0x8000ac,1
0x8000b0,1
0x8000b4,1
0x8000b8,1
0x8000bc,1
0x8000c0,1
0x8000c4,1
0x8000c8,1
0x8000cc,1
0x8000d0,1
0x8000d4,1
0x8000d8,1
0x8000dc,1
0x8000e0,1
0x8000e4,1
0x8000e8,1
0x8000ec,1
0x8000f0,1
0x8000f4,1
0x8000f8,1
0x8000fc,1
0x800100,1
0x800104,1
0x800108,1
0x80010c,1
0x800110,1
0x800114,1
0x800118,1
0x80011c,1
0x800120,1
0x800124,1
0x800128,1
0x80012c,1
0x800130,1
0x800134,1
0x800138,1
0x80013c,1
0x800140,1
0x800144,1
0x800148,1
0x80014c,1
0x800150,1
0x800154,1
0x800158,1
0x80015c,1
0x800160,1
0x800164,1
0x800168,1
0x80016c,1
0x800170,1
0x800174,1
0x800178,1
0x80017c,1
0x800180,1
0x800184,1
0x800188,1
0x80018c,1
0x800190,1
0x800194,1
0x800198,1
0x80019c,1
0x8001a0,1
0x8001a4,1
0x8001a8,1
0x8001ac,1
0x8001b0,1
0x8001b4,1
0x8001b8,1
0x8001bc,1
0x8001c0,1
0x8001c4,1
0x8001c8,1
0x8001cc,1
0x8001d0,1
0x8001d4,1
0x8001d8,1
0x8001dc,1
0x8001e0,1
0x8001e4,1
0x8001e8,1
0x8001ec,1
0x8001f0,1
0x8001f4,1
0x8001f8,1
0x8001fc,1
0x800200,1
0x800204,1
0x800208,1
0x80020c,1
0x800210,1
0x800214,1
0x800218,1
0x80021c,1
0x800220,1
0x800224,1
0x800228,1
0x80022c,1
0x800230,1
0x800234,1
0x800238,1
0x80023c,1
0x800240,1
0x800244,1
0x800248,1
0x80024c,1
0x800250,1
0x800254,1
0x800258,1
0x80025c,1
0x800260,1
0x800264,1
0x800268,1
0x80026c,1
0x800270,1
0x800274,1
0x800278,1
0x80027c,1
0x800280,1
0x800284,1
0x800288,1
0x80028c,1
0x800290,1
0x800294,1
0x800298,1
0x80029c,1
0x8002a0,1
0x8002a4,1
0x8002a8,5
0x8002ac,5
0x8002b0,5
0x8002b4,5
0x8002b8,2
0x8002bc,2
0x8002c0,2
0x8002c4,2
0x8002c8,25
0x8002cc,25
0x8002d0,25
0x8002d4,25
0x8002d8,25
0x8002dc,25
0x8002e0,25
0x8002e4,25
0x8002e8,25
0x8002ec,2
0x8002f0,2
0x8002f4,3
0x8002f8,3
0x8002fc,3
0x800300,5
0x800304,5
0x800308,5
0x80030c,5
0x800310,5
0x800314,5
0x800318,5
0x80031c,5
0x800320,5
0x800324,5
0x800328,5
0x80032c,5
0x800330,1
0x800334,1
0x800338,1
0x80033c,1
0x800340,1
0x800344,1
0x800348,1
0x80034c,1
0x800350,1
0x800354,262144
0x800358,262144
0x80035c,262144
0x800360,262144
0x800364,262144
0x800368,262144
0x80036c,1
0x800370,1
0x800374,1
0x800378,1
0x80037c,1
0x800380,1
0x800384,1
0x800388,1
0x80038c,1
0x800390,1
0x800394,1
0x800398,4
0x80039c,4
0x8003a0,4
0x8003a4,4
0x8003a8,4
0x8003ac,4
0x8003b0,4
0x8003b4,4
0x8003b8,3
0x8003bc,3
0x8003c0,3
