pc,count
0x800050,10
0x800054,10
0x800058,10
0x80005c,10
0x800060,10
0x800064,10
0x800068,10
0x80006c,10
0x800070,10
0x800074,10
0x800078,10
0x80007c,10
0x800080,10
0x800084,10
0x800088,10
0x80008c,10
0x800090,10
0x800094,10
0x800098,10
0x80009c,10
0x8000a0,10
0x8000f0,10
0x8000f4,10
0x8000f8,10
0x8000fc,10
0x800100,10
0x800104,10
0x800108,10
0x80010c,10
0x800110,10
0x800114,10
0x800118,10
0x80011c,10
0x800120,10
0x800124,10
0x800128,10
0x80012c,10
0x800130,10
0x800134,10
0x800138,10
0x80013c,10
0x800140,10
0x80014c,10
0x800150,10
0x800154,10
0x800158,10
0x80015c,10
0x800160,10
0x800164,10
0x800168,10
0x80016c,10
0x800170,10
0x800174,10
0x800178,10
0x80017c,10
0x800180,10
0x800184,10
0x800188,10
0x80018c,10
0x800190,10
0x800194,10
0x800198,10
0x80019c,10
0x8001a0,10
0x8001a4,10
0x8001a8,10
0x8001ac,10
0x8001b0,10
0x8001b4,10
0x8001b8,10
0x8001bc,10
0x8001c0,10
0x8001c4,10
0x8001c8,10
0x8001cc,277
0x8001d0,277
0x8001d4,273
0x8001d8,273
0x8001dc,4
0x8001e0,4
0x8001e4,4
0x8001e8,4
0x8001ec,4
0x8001f0,4
0x8001f4,4
0x8001f8,4
0x8001fc,4
0x800278,4
0x80027c,4
0x800280,4
0x800284,4
0x800288,4
0x80028c,4
0x800290,4
0x800294,4
0x800298,4
0x80029c,4
0x8002a0,4
0x8002a4,4
0x8002a8,4
0x8002ac,4
0x8002b0,4
0x8002b4,4
0x8002b8,4
0x8002bc,4
0x8002c0,4
0x8002c4,4
0x8002c8,4
0x8002cc,4
0x8002d0,4
0x8002d4,4
0x8002d8,4
0x8002dc,4
0x8002e0,277
0x8002e4,277
0x8002e8,277
0x8002ec,277
0x8002f0,277
0x8002f4,277
0x8002f8,277
0x8002fc,218
0x800300,218
0x800304,59
0x800308,59
0x80030c,59
0x800310,59
0x800314,59
0x800318,59
0x80031c,59
0x800320,277
0x800324,277
0x800328,277
0x80032c,8
0x800330,8
0x800334,269
0x800338,277
0x80033c,277
0x800340,277
0x800344,277
0x800348,277
0x80034c,277
0x800350,277
0x800354,277
0x800358,68
0x80035c,58
0x800360,58
0x800364,58
0x800368,58
0x80036c,58
0x800370,58
0x800374,58
0x800378,58
0x80037c,58
0x800380,58
0x800384,58
0x800388,58
0x80038c,58
0x800390,58
0x800394,58
0x800398,58
0x80039c,58
0x8003a0,58
0x8003a4,58
0x8003a8,58
0x8003ac,58
0x8003b0,58
0x8003b4,58
0x8003b8,58
0x8003bc,58
0x8003c0,58
0x8003c4,267
0x8003c8,267
0x8003cc,267
0x8003d0,267
0x8003d4,267
0x8003d8,267
0x8003dc,267
0x8003e0,267
0x8003e4,267
0x8003e8,267
0x8003ec,267
0x8003f0,267
0x8003f4,267
0x8003f8,267
0x8003fc,267
0x800400,267
0x800404,267
0x800408,267
