case,name,total_cycles,verifier_cycles,transcript_cycles,vanishing_cycles,logderivativesum_cycles,poseidon2_compressions,module_count,dynamic_module_count,round_count,expression_count,bucket_count,vanishing_count,total_witness_claims,total_quotient_claims
0,BooleanColumn,169135,165827,159358,6375,53,5,1,0,3,5,1,1,1,1
1,Fibonacci,268500,262830,254149,8587,53,8,1,0,3,5,1,1,3,1
2,GeometricProgression,267737,262438,254173,8171,53,8,1,0,3,5,1,1,2,1
3,ConditionalCounter,299738,293622,285892,7636,53,9,1,0,3,5,1,1,3,1
4,PythagoreanTriplet,333311,326745,317619,9017,68,10,1,0,3,8,1,1,3,1
5,DynamicFibonacci,269017,263293,254149,9050,53,8,1,1,3,5,1,1,3,1
6,ConstantColumn,168546,165238,159330,5814,53,5,1,0,3,3,1,1,1,1
7,ForwardShiftConstant,267106,261807,254225,7488,53,8,1,0,3,3,1,1,2,1
8,BooleanCube,269614,264277,254475,9708,53,8,1,0,3,7,1,1,1,2
9,LinearCombination,203109,198422,191049,7279,53,6,1,0,3,9,1,1,3,1
10,LargeFibonacci,494381,485479,476006,9364,68,15,1,0,3,5,1,1,3,1
11,MultipleVanishingsSameRatio,171492,167499,159168,8237,53,5,1,0,3,6,1,2,2,1
12,MixedRatioVanishings,172847,169164,159322,9748,53,5,1,0,3,8,1,2,2,1
13,MultiModule,465936,458296,445273,12914,68,14,2,0,3,8,2,2,2,2
14,ManualCancellation,170005,166322,159314,6914,53,5,1,0,3,5,1,1,2,1
15,PrecomputedSelector,169595,165912,159374,6444,53,5,1,0,3,5,1,1,2,1
16,CellLeaf,168976,165371,159443,5834,53,5,1,0,3,3,1,1,1,1
17,CoinScaled,202312,198509,191092,7323,53,6,1,0,4,5,1,1,2,1
18,ThreeStepRecurrence,269487,263817,254185,9538,53,8,1,0,3,5,1,1,3,1
19,Quartic,467717,458325,444581,13635,68,14,1,0,3,9,1,1,1,4
20,LeftPadDynamic,267485,262132,254181,7857,53,8,1,1,3,3,1,1,2,1
21,CubicWithBackShift,464759,455952,444407,11436,68,14,1,0,3,7,1,1,2,2
22,MixedHighRatio,1249200,1226738,1205139,21490,68,38,1,0,3,16,2,2,1,6
23,MultiModuleHighRatio,763990,750794,730540,20145,68,23,2,0,3,14,2,2,2,4
24,SizeThirtyTwoCubic,1719293,1692284,1680136,12039,68,53,1,0,3,7,1,1,1,2
25,LargeForwardShift,269012,263713,254229,9390,53,8,1,0,3,3,1,1,2,1
26,BackAndForwardShift,269253,263583,254217,9272,53,8,1,0,3,7,1,1,3,1
27,DynamicQuadratic,266779,261801,254197,7510,53,8,1,1,3,5,1,1,1,1
28,QuarticWithBackShift,856638,840816,824727,15980,68,26,1,0,3,11,1,1,2,4
29,SingleColumnFirstRowZero,170969,167661,159362,8205,53,5,1,0,3,3,1,1,1,1
